feature, execution_mode, start_time, cpu_id, cpu_cycles, instructions, cache_ref, cache_miss, ref_cpu_cycles_, block_read, block_write, memory_b, elapsed_us
tpch_q4_p1,1,1.59319E+15,26,37682147,123722065,102727,78720,12475,0,0,386560,13071
tpch_q4_p2,1,1.59319E+15,26,173249861,480542607,394769,197986,57313,0,0,12288,59592
tpch_q4_p3,1,1.59319E+15,26,18626,12829,271,69,5,0,0,10304,6
tpch_q4_p4,1,1.59319E+15,26,2001,834,25,7,0,0,0,0,0
tpch_q11_p1,1,1.59319E+15,26,115446,148361,1969,158,39,0,0,8208,47
tpch_q11_p2,1,1.59319E+15,26,297922,737284,1377,394,102,0,0,9216,110
tpch_q11_p3,1,1.59319E+15,26,19898350,60126115,33877,31284,6568,0,0,0,6806
tpch_q11_p4,1,1.59319E+15,26,24346234,71198135,53323,5156,8054,0,0,245760,8447
tpch_q11_p5,1,1.59319E+15,26,1609707,2068501,10928,1147,536,0,0,114688,552
tpch_q11_p6,1,1.59319E+15,26,58846,131212,498,0,20,0,0,0,20
tpch_q5_p1,1,1.59319E+15,26,118799,141269,2162,66,38,0,0,8208,45
tpch_q5_p2,1,1.59319E+15,26,53619,116978,646,18,17,0,0,14400,21
tpch_q5_p3,1,1.59319E+15,26,3732666,10212183,14382,4094,1248,0,0,286720,1385
tpch_q5_p4,1,1.59319E+15,26,54568817,143754635,268669,61995,18087,0,0,2699264,19248
tpch_q5_p5,1,1.59319E+15,26,349568,926434,2772,93,120,0,0,65536,134
tpch_q5_p6,1,1.59319E+15,26,204582512,550789141,799709,302498,67667,0,0,14336,70363
tpch_q5_p7,1,1.59319E+15,26,21474,12724,283,117,6,0,0,10304,7
tpch_q5_p8,1,1.59319E+15,26,3559,868,27,18,1,0,0,0,1
tpch_scan_orders_p1,1,1.59319E+15,26,20087732,69421522,33104,26445,6644,0,0,0,6891
tpch_q7_p1,1,1.59319E+15,26,177191,223514,2940,218,61,0,0,24608,69
tpch_q7_p2,1,1.59319E+15,26,3478280,9676056,9271,3797,1145,0,0,139264,1189
tpch_q7_p3,1,1.59319E+15,26,35046005,95237344,132923,9897,11589,0,0,1417216,12170
tpch_q7_p4,1,1.59319E+15,26,357218,924093,2863,451,115,0,0,65536,125
tpch_q7_p5,1,1.59319E+15,26,209087541,660153138,506764,327737,69176,0,0,24576,71941
tpch_q7_p6,1,1.59319E+15,26,26174,12816,358,149,8,0,0,20512,8
tpch_q7_p7,1,1.59319E+15,26,2321,842,41,16,0,0,0,0,1
tpch_q1_p1,1,1.59319E+15,26,366905561,1164684615,1420113,723386,121327,0,0,47104,126099
tpch_q1_p2,1,1.59319E+15,26,19370,11393,316,203,6,0,0,45088,6
tpch_q1_p3,1,1.59319E+15,26,4174,954,63,61,1,0,0,0,1
tpch_q6_p1,1,1.59319E+15,26,161239850,519710721,391904,329995,53374,0,0,0,55552
tpch_scan_lineitem_p1,1,1.59319E+15,26,343786273,1162569208,1935577,833787,113680,0,0,0,118169
tpch_q4_p1,1,1.59319E+15,26,37272968,123686271,100778,85436,12319,0,0,386560,12870
tpch_q4_p2,1,1.59319E+15,26,169998820,480517367,382592,176662,56257,0,0,12288,58520
tpch_q4_p3,1,1.59319E+15,26,21071,12900,312,77,6,0,0,10304,7
tpch_q4_p4,1,1.59319E+15,26,1894,834,27,4,0,0,0,0,1
tpch_q11_p1,1,1.59319E+15,26,67229,113377,956,210,23,0,0,8208,31
tpch_q11_p2,1,1.59319E+15,26,299526,734572,1272,495,103,0,0,9216,108
tpch_q11_p3,1,1.59319E+15,26,19777978,60101744,34578,31304,6557,0,0,0,6859
tpch_q11_p4,1,1.59319E+15,26,23343894,71157520,54014,7762,7725,0,0,245760,8063
tpch_q11_p5,1,1.59319E+15,26,1707818,2117904,11645,2777,550,0,0,114688,550
tpch_q11_p6,1,1.59319E+15,26,61735,131212,429,52,19,0,0,0,20
tpch_q5_p1,1,1.59319E+15,26,53587,99983,897,126,18,0,0,8208,24
tpch_q5_p2,1,1.59319E+15,26,51890,116836,437,77,17,0,0,14400,22
tpch_q5_p3,1,1.59319E+15,26,3747186,10216483,14637,4790,1248,0,0,286720,1364
tpch_q5_p4,1,1.59319E+15,26,56250785,143741915,271769,53668,18594,0,0,2699264,19675
tpch_q5_p5,1,1.59319E+15,26,349317,926283,2906,82,119,0,0,65536,147
tpch_q5_p6,1,1.59319E+15,26,192914224,550792269,811575,266465,63770,0,0,14336,66300
tpch_q5_p7,1,1.59319E+15,26,15689,12651,233,65,4,0,0,10304,5
tpch_q5_p8,1,1.59319E+15,26,5314,868,24,10,1,0,0,0,1
tpch_scan_orders_p1,1,1.59319E+15,26,19638884,69386978,31576,17356,6500,0,0,0,6758
tpch_q7_p1,1,1.59319E+15,26,98716,172444,1202,264,33,0,0,24608,40
tpch_q7_p2,1,1.59319E+15,26,3476435,9657859,9169,3126,1144,0,0,139264,1201
tpch_q7_p3,1,1.59319E+15,26,35033034,95237174,143077,6307,11577,0,0,1417216,12139
tpch_q7_p4,1,1.59319E+15,26,348225,924063,2930,290,119,0,0,65536,132
tpch_q7_p5,1,1.59319E+15,26,206618360,660143203,505932,235556,68355,0,0,24576,71155
tpch_q7_p6,1,1.59319E+15,26,18432,12644,263,65,5,0,0,20512,6
tpch_q7_p7,1,1.59319E+15,26,2584,842,31,10,0,0,0,0,0
tpch_q1_p1,1,1.59319E+15,26,366784107,1164632989,1417162,689760,121345,0,0,47104,126259
tpch_q1_p2,1,1.59319E+15,26,20960,11538,290,183,7,0,0,45088,6
tpch_q1_p3,1,1.59319E+15,26,4943,954,43,40,1,0,0,0,1
tpch_q6_p1,1,1.59319E+15,26,161123039,519668681,390779,269569,53257,0,0,0,55378
tpch_scan_lineitem_p1,1,1.59319E+15,26,343570147,1162529975,1930209,792441,113628,0,0,0,118143
tpch_q4_p1,1,1.59319E+15,26,37335424,123670404,101225,85542,12351,0,0,386560,12895
tpch_q4_p2,1,1.59319E+15,26,169913308,480517349,384589,176270,56221,0,0,12288,58462
tpch_q4_p3,1,1.59319E+15,26,21264,12811,240,71,7,0,0,10304,7
